date,views,unique_views,clones,unique_clones
2026-06-22,8,1,1,1
2026-06-23,8,1,0,0
2026-06-24,0,0,1,1
2026-06-25,4,1,1,1
2026-06-26,0,0,0,0
2026-06-27,0,0,0,0
2026-06-28,0,0,0,0
2026-06-29,4,1,2,1
2026-06-30,1,1,4,2
2026-07-01,8,3,2,2
2026-07-02,4,1,1,1
2026-07-03,7,1,0,0
2026-07-04,0,0,0,0
2026-07-05,0,0,2,1
2026-07-06,20,3,28,18
2026-07-07,2,1,15,9
2026-07-08,6,1,4,4
2026-07-09,8,1,11,7
2026-07-10,5,1,3,3
2026-07-11,4,1,3,3
2026-07-12,0,0,4,4
2026-07-13,10,2,13,7
2026-07-14,4,2,3,3
2026-07-15,0,0,11,7
2026-07-16,10,2,3,3
2026-07-17,11,2,9,6
